analysis       sr              signal_normevents  signal_err_tot  
cms1703_01651  MONOJ1020_1090  0.0                0               
cms1703_01651  MONOJ1090_1160  0.0                0               
cms1703_01651  MONOJ1160       0.0                0               
cms1703_01651  MONOJ230_260    32258.7            3954.2107278    
cms1703_01651  MONOJ260_290    20703.3            3164.01280217   
cms1703_01651  MONOJ290_320    10110.9            2208.6971673    
cms1703_01651  MONOJ320_350    5777.67            1668.87298023   
cms1703_01651  MONOJ350_390    5777.67            1668.87298023   
cms1703_01651  MONOJ390_430    4333.25            1445.06686156   
cms1703_01651  MONOJ430_470    1444.42            834.058073622   
cms1703_01651  MONOJ470_510    481.473            481.497047384   
cms1703_01651  MONOJ510_550    0.0                0               
cms1703_01651  MONOJ550_590    0.0                0               
cms1703_01651  MONOJ590_640    0.0                0               
cms1703_01651  MONOJ640_690    0.0                0               
cms1703_01651  MONOJ690_740    0.0                0               
cms1703_01651  MONOJ740_790    481.473            481.497047384   
cms1703_01651  MONOJ790_840    0.0                0               
cms1703_01651  MONOJ840_900    0.0                0               
cms1703_01651  MONOJ900_960    481.473            481.497047384   
cms1703_01651  MONOJ960_1020   0.0                0               
cms1703_01651  MONOV250_300    962.945            680.97390384    
cms1703_01651  MONOV300_350    481.473            481.497047384   
cms1703_01651  MONOV350_400    962.945            680.97390384    
cms1703_01651  MONOV400_500    962.945            680.97390384    
cms1703_01651  MONOV500_600    0.0                0               
cms1703_01651  MONOV600_750    0.0                0               
cms1703_01651  MONOV750        0.0                0               
